Forest coverage (%),2005,,,,,,,,,,,,,,,,,,,,,,,
Angola,47.41,,,,,,,,,,,,,,,,,,,,,,,
Botswana,21.07,,,,,,,,,,,,,,,,,,,,,,,
British Indian Ocean Territory,37.5,,,,,,,,,,,,,,,,,,,,,,,
Comoros,2.69,,,,,,,,,,,,,,,,,,,,,,,
Kenya,6.19,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,0.26,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,22.08,,,,,,,,,,,,,,,,,,,,,,,
Malawi,36.16,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,18.23,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,13.51,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,24.57,,,,,,,,,,,,,,,,,,,,,,,
Namibia,9.31,,,,,,,,,,,,,,,,,,,,,,,
Reunion,33.6,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,88.89,,,,,,,,,,,,,,,,,,,,,,,
South Africa,7.58,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,31.45,,,,,,,,,,,,,,,,,,,,,,,
Uganda,18.4,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,39.9,,,,,,,,,,,,,,,,,,,,,,,
Zambia,57.11,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,45.34,,,,,,,,,,,,,,,,,,,,,,,
Algeria,0.96,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,24.83,,,,,,,,,,,,,,,,,,,,,,,
Chad,9.47,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,0.26,,,,,,,,,,,,,,,,,,,,,,,
Egypt,0.07,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,15.39,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,13,,,,,,,,,,,,,,,,,,,,,,,
Libya,0.12,,,,,,,,,,,,,,,,,,,,,,,
Mali,10.3,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,0.26,,,,,,,,,,,,,,,,,,,,,,,
Morocco,9.78,,,,,,,,,,,,,,,,,,,,,,,
Niger,1,,,,,,,,,,,,,,,,,,,,,,,
Somalia,11.37,,,,,,,,,,,,,,,,,,,,,,,
Sudan,28.43,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,6.8,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,3.8,,,,,,,,,,,,,,,,,,,,,,,
Benin,21.25,,,,,,,,,,,,,,,,,,,,,,,
Burundi,5.92,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,45.65,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,20.84,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,36.53,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",65.8,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,32.72,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",58.94,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,58.18,,,,,,,,,,,,,,,,,,,,,,,
Gabon,84.51,,,,,,,,,,,,,,,,,,,,,,,
Gambia,47.1,,,,,,,,,,,,,,,,,,,,,,,
Ghana,24.25,,,,,,,,,,,,,,,,,,,,,,,
Guinea,27.36,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,73.68,,,,,,,,,,,,,,,,,,,,,,,
Liberia,32.75,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,12.18,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,19.46,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,6.45,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,28.13,,,,,,,,,,,,,,,,,,,,,,,
Senegal,45.05,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,38.45,,,,,,,,,,,,,,,,,,,,,,,
Togo,7.1,,,,,,,,,,,,,,,,,,,,,,,
China,21.15,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",51.38,,,,,,,,,,,,,,,,,,,,,,,
Japan,68.22,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,6.54,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",63.46,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,6.69,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,67.98,,,,,,,,,,,,,,,,,,,,,,,
Brunei,52.75,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,59.18,,,,,,,,,,,,,,,,,,,,,,,
India,22.77,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,48.85,,,,,,,,,,,,,,,,,,,,,,,
Laos,69.94,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,63.58,,,,,,,,,,,,,,,,,,,,,,,
Maldives,3.33,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,49,,,,,,,,,,,,,,,,,,,,,,,
Nepal,25.43,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,2.47,,,,,,,,,,,,,,,,,,,,,,,
Philippines,24.02,,,,,,,,,,,,,,,,,,,,,,,
Singapore,2.99,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,29.91,,,,,,,,,,,,,,,,,,,,,,,
Thailand,28.42,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,53.67,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,39.73,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1.33,,,,,,,,,,,,,,,,,,,,,,,
Armenia,10.04,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,11.33,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,18.83,,,,,,,,,,,,,,,,,,,,,,,
Georgia,39.72,,,,,,,,,,,,,,,,,,,,,,,
Iran,6.77,,,,,,,,,,,,,,,,,,,,,,,
Iraq,1.88,,,,,,,,,,,,,,,,,,,,,,,
Israel,7.88,,,,,,,,,,,,,,,,,,,,,,,
Jordan,0.93,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,1.24,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0.34,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,4.53,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,13.29,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,0.03,,,,,,,,,,,,,,,,,,,,,,,
Oman,0.33,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,1.27,,,,,,,,,,,,,,,,,,,,,,,
Syria,2.51,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,2.92,,,,,,,,,,,,,,,,,,,,,,,
Turkey,13.22,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,8.78,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,3.73,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,7.95,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",1.04,,,,,,,,,,,,,,,,,,,,,,,
Albania,28.98,,,,,,,,,,,,,,,,,,,,,,,
Andorra,33.33,,,,,,,,,,,,,,,,,,,,,,,
Austria,46.68,,,,,,,,,,,,,,,,,,,,,,,
Belarus,38.05,,,,,,,,,,,,,,,,,,,,,,,
Belgium,22.03,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,42.68,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,32.77,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,5.26,,,,,,,,,,,,,,,,,,,,,,,
Croatia,38.18,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,34.27,,,,,,,,,,,,,,,,,,,,,,,
Denmark,11.78,,,,,,,,,,,,,,,,,,,,,,,
Estonia,53.88,,,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,
Finland,73.87,,,,,,,,,,,,,,,,,,,,,,,
France,28.27,,,,,,,,,,,,,,,,,,,,,,,
Germany,31.74,,,,,,,,,,,,,,,,,,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,
Greece,29.11,,,,,,,,,,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,21.45,,,,,,,,,,,,,,,,,,,,,,,
Iceland,0.46,,,,,,,,,,,,,,,,,,,,,,,
Ireland,9.71,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,5.26,,,,,,,,,,,,,,,,,,,,,,,
Italy,33.93,,,,,,,,,,,,,,,,,,,,,,,
Latvia,47.4,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,43.75,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,33.49,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,33.59,,,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,10.77,,,,,,,,,,,,,,,,,,,,,,,
Norway,30.65,,,,,,,,,,,,,,,,,,,,,,,
Poland,30.01,,,,,,,,,,,,,,,,,,,,,,,
Portugal,41.34,,,,,,,,,,,,,,,,,,,,,,,
Moldova,10.01,,,,,,,,,,,,,,,,,,,,,,,
Romania,27.71,,,,,,,,,,,,,,,,,,,,,,,
Russia,47.89,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,26.41,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,40.12,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,62.82,,,,,,,,,,,,,,,,,,,,,,,
Spain,35.87,,,,,,,,,,,,,,,,,,,,,,,
Sweden,66.88,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,30.87,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",35.63,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,16.53,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,11.81,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,75,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,20.45,,,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,51.45,,,,,,,,,,,,,,,,,,,,,,,
Barbados,4.65,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,20,,,,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,26.67,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,46.15,,,,,,,,,,,,,,,,,,,,,,,
Cuba,24.7,,,,,,,,,,,,,,,,,,,,,,,
Dominica,61.33,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,28.44,,,,,,,,,,,,,,,,,,,,,,,
Grenada,11.76,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,47.34,,,,,,,,,,,,,,,,,,,,,,,
Haiti,3.81,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,31.3,,,,,,,,,,,,,,,,,,,,,,,
Martinique,43.4,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,40,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,1.25,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,46,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,13.89,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,27.87,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,28.21,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,44.05,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,79.07,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),29.41,,,,,,,,,,,,,,,,,,,,,,,
Belize,72.5,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,46.83,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,14.38,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,36.32,,,,,,,,,,,,,,,,,,,,,,,
Honduras,41.54,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,42.74,,,,,,,,,,,,,,,,,,,,,,,
Panama,57.69,,,,,,,,,,,,,,,,,,,,,,,
Canada,33.63,,,,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,33.66,,,,,,,,,,,,,,,,,,,,,,,
Saint-Pierre-et-Miquelon,13.04,,,,,,,,,,,,,,,,,,,,,,,
United States,33.09,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,90,,,,,,,,,,,,,,,,,,,,,,,
Australia,21.31,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,69.57,,,,,,,,,,,,,,,,,,,,,,,
Fiji,54.73,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,28.69,,,,,,,,,,,,,,,,,,,,,,,
Guam,47.27,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,2.74,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",90,,,,,,,,,,,,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,39.22,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,31,,,,,,,,,,,,,,,,,,,,,,,
Niue,53.85,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,71.74,,,,,,,,,,,,,,,,,,,,,,,
Palau,86.96,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,65,,,,,,,,,,,,,,,,,,,,,,,
Pitcairn,100,,,,,,,,,,,,,,,,,,,,,,,
Samoa,60.42,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,77.6,,,,,,,,,,,,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,5.56,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,33.33,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,36.1,,,,,,,,,,,,,,,,,,,,,,,
Wallis et Futuna,25,,,,,,,,,,,,,,,,,,,,,,,
Argentina,12.07,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,54.17,,,,,,,,,,,,,,,,,,,,,,,
Brazil,56.47,,,,,,,,,,,,,,,,,,,,,,,
Chile,21.53,,,,,,,,,,,,,,,,,,,,,,,
Colombia,58.47,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,39.2,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,91.47,,,,,,,,,,,,,,,,,,,,,,,
Guyana,76.73,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,46.5,,,,,,,,,,,,,,,,,,,,,,,
Peru,53.7,,,,,,,,,,,,,,,,,,,,,,,
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,94.72,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,8.6,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,54.09,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
